# The one case table of `validate::secret_entry`, run by the Rust core and
# the Swift helper's mirror alike (KeyboardInputSafetyTests.swift reads this
# file). Columns: writes_text, pastes, secure_field, secure_input_on,
# secure_input_by_receiver, focus_read → verdict. A secure field is the
# platform's own secret-field subrole — never a word. Secure mode held by the
# app the keys go to, or held while the focus cannot be read, counts as one.
# writes_text	pastes	secure_field	secure_input_on	secure_input_by_receiver	focus_read	verdict
true	false	true	false	false	true	persons_entry
true	false	true	true	false	true	persons_entry
false	true	true	false	false	true	persons_entry
false	true	true	true	false	true	persons_entry
false	false	true	false	false	true	clear
false	false	true	true	false	true	watched
true	false	false	false	false	true	clear
true	false	false	true	false	true	watched
false	true	false	true	false	true	watched
false	false	false	true	false	true	watched
false	false	false	false	false	true	clear
true	false	false	true	true	true	persons_entry
false	true	false	true	true	true	persons_entry
false	false	false	true	true	true	watched
true	false	false	true	false	false	persons_entry
false	true	false	true	false	false	persons_entry
true	false	false	false	false	false	clear
false	false	false	true	false	false	watched
